problem_id,participant_id,participant_decision_en,participant_certainty_en,decision_sim,certainty_sim,dec_true,dec_sim,cert_true,cert_sim
__P3__,MZ_SSH_02,edible,moderately certain  ,non-edible,moderately_certain,edible,non-edible,moderately_certain,moderately_certain
__P1__,MZ_SSH_03,edible,moderately certain  ,non-edible,definitely_certain,edible,non-edible,moderately_certain,definitely_certain
__P2__,MZ_SSH_03,non-edible,moderately certain  ,edible,moderately_certain,non-edible,edible,moderately_certain,moderately_certain
__P3__,MZ_SSH_03,edible,moderately certain  ,edible,moderately_certain,edible,edible,moderately_certain,moderately_certain
__P1__,MZ_SSH_04,edible,definitely uncertain  ,edible,definitely_uncertain,edible,edible,definitely_uncertain,definitely_uncertain
__P2__,MZ_SSH_04,non-edible,definitely uncertain  ,non-edible,definitely_certain,non-edible,non-edible,definitely_uncertain,definitely_certain
__P3__,MZ_SSH_04,non-edible,moderately uncertain  ,edible,moderately_certain,non-edible,edible,moderately_uncertain,moderately_certain
__P1__,MZ_SSH_07,edible,moderately certain  ,non-edible,cannot_assess,edible,non-edible,moderately_certain,cannot_assess
__P2__,MZ_SSH_07,non-edible,I can't assess  ,edible,moderately_uncertain,non-edible,edible,cannot_assess,moderately_uncertain
__P3__,MZ_SSH_07,edible,definitely uncertain  ,non-edible,moderately_certain,edible,non-edible,definitely_uncertain,moderately_certain
